localid,Language,collection,label,description ,definition,status
ESP,it,fisiogr_forma,ESP,forma spianata,forma spianata,https://inspire.ec.europa.eu/registry/status/valid
ESS,it,fisiogr_forma,ESS,forma semispianata,forma semispianata,https://inspire.ec.europa.eu/registry/status/valid
ET,it,fisiogr_forma,ET,rilievo residuale (tor),rilievo residuale (tor),https://inspire.ec.europa.eu/registry/status/valid
EV,it,fisiogr_forma,EV,versante con vallecole non cartografabili,versante con vallecole non cartografabili,https://inspire.ec.europa.eu/registry/status/valid
EVA,it,fisiogr_forma,EVA,"versante con vallecole non aggradato, in incisione catastrofica","versante con vallecole non aggradato, in incisione catastrofica",https://inspire.ec.europa.eu/registry/status/valid
EVC,it,fisiogr_forma,EVC,"versante con vallecole aggradato, in incisione catastrofica","versante con vallecole aggradato, in incisione catastrofica",https://inspire.ec.europa.eu/registry/status/valid
EVE,it,fisiogr_forma,EVE,versante con vallecole aggradato con vallecole reincise,versante con vallecole aggradato con vallecole reincise,https://inspire.ec.europa.eu/registry/status/valid
EVG,it,fisiogr_forma,EVG,versante con vallecole aggradato con vallecole riempite a conca,versante con vallecole aggradato con vallecole riempite a conca,https://inspire.ec.europa.eu/registry/status/valid
EVI,it,fisiogr_forma,EVI,versante con vallecole aggradato,versante con vallecole aggradato,https://inspire.ec.europa.eu/registry/status/valid
EVN,it,fisiogr_forma,EVN,versante con vallecole non aggradato,versante con vallecole non aggradato,https://inspire.ec.europa.eu/registry/status/valid
EVP,it,fisiogr_forma,EVP,versante con vallecole aggradato con vallecole riempite a fondo piatto,versante con vallecole aggradato con vallecole riempite a fondo piatto,https://inspire.ec.europa.eu/registry/status/valid
EVR,it,fisiogr_forma,EVR,versante con vallecole regolare,versante con vallecole regolare,https://inspire.ec.europa.eu/registry/status/valid
EVS,it,fisiogr_forma,EVS,"versante con vallecole regolare, in incisione catastrofica","versante con vallecole regolare, in incisione catastrofica",https://inspire.ec.europa.eu/registry/status/valid
EVT,it,fisiogr_forma,EVT,versante con vallecole aggradato con vallecole in reincisione catastrofica,versante con vallecole aggradato con vallecole in reincisione catastrofica,https://inspire.ec.europa.eu/registry/status/valid
EX,it,fisiogr_forma,EX,"versante convesso, sommità arrotondata","versante convesso, sommità arrotondata",https://inspire.ec.europa.eu/registry/status/valid
EY,it,fisiogr_forma,EY,valle,valle,https://inspire.ec.europa.eu/registry/status/valid
EYA,it,fisiogr_forma,EYA,valle a V asimmetrica,valle a V asimmetrica,https://inspire.ec.europa.eu/registry/status/valid
EYC,it,fisiogr_forma,EYC,valle a U (a conca),valle a U (a conca),https://inspire.ec.europa.eu/registry/status/valid
EYN,it,fisiogr_forma,EYN,valle molto incisa a pareti subverticali,valle molto incisa a pareti subverticali,https://inspire.ec.europa.eu/registry/status/valid
EYV,it,fisiogr_forma,EYV,valle a V,valle a V,https://inspire.ec.europa.eu/registry/status/valid
F00,it,fisiogr_forma,F00,forme di fondovalle,forme di fondovalle,https://inspire.ec.europa.eu/registry/status/valid
FA,it,fisiogr_forma,FA,piana alluvionale di fondovalle,piana alluvionale di fondovalle,https://inspire.ec.europa.eu/registry/status/valid
FAA,it,fisiogr_forma,FAA,fondovalle,fondovalle,https://inspire.ec.europa.eu/registry/status/valid
FAB,it,fisiogr_forma,FAB,fondovalle con substrato roccioso subaffiorante,fondovalle con substrato roccioso subaffiorante,https://inspire.ec.europa.eu/registry/status/valid
FAF,it,fisiogr_forma,FAF,alveo attivo a canali intrecciati in pianura all. di fondovalle,alveo attivo a canali intrecciati in pianura all. di fondovalle,https://inspire.ec.europa.eu/registry/status/valid
FAM,it,fisiogr_forma,FAM,alveo di corso effimero o semieffimero,alveo di corso effimero o semieffimero,https://inspire.ec.europa.eu/registry/status/valid
FAR,it,fisiogr_forma,FAR,fondovalle riempito,fondovalle riempito,https://inspire.ec.europa.eu/registry/status/valid
FAS,it,fisiogr_forma,FAS,fondovalle sospeso,fondovalle sospeso,https://inspire.ec.europa.eu/registry/status/valid
FAX,it,fisiogr_forma,FAX,fondovalle con tracce di canali intrecciati,fondovalle con tracce di canali intrecciati,https://inspire.ec.europa.eu/registry/status/valid
FAY,it,fisiogr_forma,FAY,fondovalle con tracce di canali singoli,fondovalle con tracce di canali singoli,https://inspire.ec.europa.eu/registry/status/valid
FB,it,fisiogr_forma,FB,piana alluvionale di fondovalle bonificata,piana alluvionale di fondovalle bonificata,https://inspire.ec.europa.eu/registry/status/valid
FBA,it,fisiogr_forma,FBA,fondovalle bonificato,fondovalle bonificato,https://inspire.ec.europa.eu/registry/status/valid
FBB,it,fisiogr_forma,FBB,fondovalle bonificato con substrato roccioso subaffiorante,fondovalle bonificato con substrato roccioso subaffiorante,https://inspire.ec.europa.eu/registry/status/valid
FBF,it,fisiogr_forma,FBF,alveo attivo a canali intrecciati (bonificato),alveo attivo a canali intrecciati (bonificato),https://inspire.ec.europa.eu/registry/status/valid
FBM,it,fisiogr_forma,FBM,alveo di corso effimero o semieffimero (bonificato),alveo di corso effimero o semieffimero (bonificato),https://inspire.ec.europa.eu/registry/status/valid
FBR,it,fisiogr_forma,FBR,fondovalle riempito bonificato,fondovalle riempito bonificato,https://inspire.ec.europa.eu/registry/status/valid
FBS,it,fisiogr_forma,FBS,fondovalle sospeso bonificato,fondovalle sospeso bonificato,https://inspire.ec.europa.eu/registry/status/valid
FBX,it,fisiogr_forma,FBX,fondovalle bonificato con tracce di canali intrecciati,fondovalle bonificato con tracce di canali intrecciati,https://inspire.ec.europa.eu/registry/status/valid
FBY,it,fisiogr_forma,FBY,fondovalle bonificato con tracce di canali singoli,fondovalle bonificato con tracce di canali singoli,https://inspire.ec.europa.eu/registry/status/valid
FC,it,fisiogr_forma,FC,conoidi,conoidi,https://inspire.ec.europa.eu/registry/status/valid
FCC,it,fisiogr_forma,FCC,conoide,conoide,https://inspire.ec.europa.eu/registry/status/valid
FCD,it,fisiogr_forma,FCD,depressione di interconoide,depressione di interconoide,https://inspire.ec.europa.eu/registry/status/valid
FCE,it,fisiogr_forma,FCE,conoidi coalescenti,conoidi coalescenti,https://inspire.ec.europa.eu/registry/status/valid
FCF,it,fisiogr_forma,FCF,glacis d’accumulo in conoidi,glacis d’accumulo in conoidi,https://inspire.ec.europa.eu/registry/status/valid
FD,it,fisiogr_forma,FD,piana di riempimento e/o prosciugamento lacustre bonificata,piana di riempimento e/o prosciugamento lacustre bonificata,https://inspire.ec.europa.eu/registry/status/valid
FDM,it,fisiogr_forma,FDM,piana di riemp. e/o pros. lacustre bonificata a prevalenza minerale,piana di riemp. e/o pros. lacustre bonificata a prevalenza minerale,https://inspire.ec.europa.eu/registry/status/valid
FDO,it,fisiogr_forma,FDO,piana di riemp. e/o pros. lacustre bonificata a prevalenza organica (torbiera),piana di riemp. e/o pros. lacustre bonificata a prevalenza organica (torbiera),https://inspire.ec.europa.eu/registry/status/valid
FDS,it,fisiogr_forma,FDS,"piana di riemp. e/o pros. lacustre bonificata a prevalenza minerale, sospesa","piana di riemp. e/o pros. lacustre bonificata a prevalenza minerale, sospesa",https://inspire.ec.europa.eu/registry/status/valid
FE,it,fisiogr_forma,FE,terrazzo d’erosione,terrazzo d’erosione,https://inspire.ec.europa.eu/registry/status/valid
FL,it,fisiogr_forma,FL,piana di riempimento e/o prosciugamento lacustre,piana di riempimento e/o prosciugamento lacustre,https://inspire.ec.europa.eu/registry/status/valid
FLM,it,fisiogr_forma,FLM,piana di riemp. e/o pros. lacustre a prevalenza minerale,piana di riemp. e/o pros. lacustre a prevalenza minerale,https://inspire.ec.europa.eu/registry/status/valid
FLO,it,fisiogr_forma,FLO,piana di riemp. e/o pros. lacustre a prevalenza organica (torbiera),piana di riemp. e/o pros. lacustre a prevalenza organica (torbiera),https://inspire.ec.europa.eu/registry/status/valid
FLS,it,fisiogr_forma,FLS,"piana di riemp. e/o pros. lacustre a prevalenza minerale, sospesa","piana di riemp. e/o pros. lacustre a prevalenza minerale, sospesa",https://inspire.ec.europa.eu/registry/status/valid
FR,it,fisiogr_forma,FR,conca di riempimento complesso,conca di riempimento complesso,https://inspire.ec.europa.eu/registry/status/valid
FRS,it,fisiogr_forma,FRS,"conca di riempimento complesso, sospesa","conca di riempimento complesso, sospesa",https://inspire.ec.europa.eu/registry/status/valid
FT,it,fisiogr_forma,FT,terrazzo fluviale in fondovalle,terrazzo fluviale in fondovalle,https://inspire.ec.europa.eu/registry/status/valid
FTI,it,fisiogr_forma,FTI,terrazzo fluviale dissecato,terrazzo fluviale dissecato,https://inspire.ec.europa.eu/registry/status/valid
FTO,it,fisiogr_forma,FTO,terrazzo fluviale con superficie ondulata,terrazzo fluviale con superficie ondulata,https://inspire.ec.europa.eu/registry/status/valid
FTS,it,fisiogr_forma,FTS,scarpata di erosione fluviale,scarpata di erosione fluviale,https://inspire.ec.europa.eu/registry/status/valid
FTX,it,fisiogr_forma,FTX,terrazzo fluviale con tracce di canali intrecciati,terrazzo fluviale con tracce di canali intrecciati,https://inspire.ec.europa.eu/registry/status/valid
FTY,it,fisiogr_forma,FTY,terrazzo fluviale con tracce di canali singoli,terrazzo fluviale con tracce di canali singoli,https://inspire.ec.europa.eu/registry/status/valid
G00,it,fisiogr_forma,G00,forme glaciali e periglaciali,forme glaciali e periglaciali,https://inspire.ec.europa.eu/registry/status/valid
GB,it,fisiogr_forma,GB,colata di blocchi (e rock glaciers),colata di blocchi (e rock glaciers),https://inspire.ec.europa.eu/registry/status/valid
GC,it,fisiogr_forma,GC,circo glaciale,circo glaciale,https://inspire.ec.europa.eu/registry/status/valid
GD,it,fisiogr_forma,GD,superficie interessata da crioturbazione,superficie interessata da crioturbazione,https://inspire.ec.europa.eu/registry/status/valid
